Domain,Problem,Specificity,Time,Memory,Triples,Words,Readability score
rovers,instances_2-7,3,1.62897992134094,1988.890625,73,552,7.11
rovers,instances_4-10,1,0.55670690536499,1988.63671875,4,23,8.9
rovers,instances_4-10,2,0.70460319519043,1988.63671875,57,313,10.02
rovers,instances_4-10,3,2.15336894989014,1988.69921875,124,895,8.35
rovers,instances_5-2,1,0.560068845748901,1988.9453125,4,24,8.77
rovers,instances_5-2,2,0.722305536270142,1988.6953125,43,248,9.34
rovers,instances_5-2,3,1.86170530319214,1988.6953125,82,627,7.54
rovers,instances_5-8,1,0.558190107345581,1988.69921875,3,19,9.57
rovers,instances_5-8,2,0.782129287719727,1988.890625,64,346,9.72
rovers,instances_5-8,3,2.45711803436279,1988.6953125,121,878,8.53
rovers,instances_6-4,1,0.563514947891235,1988.703125,4,24,8.77
rovers,instances_6-4,2,0.758667945861816,1988.69921875,57,313,10.07
rovers,instances_6-4,3,2.26846027374268,1988.6953125,109,792,7.96
rovers,instances_9-3,1,0.562792062759399,1988.703125,4,24,8.77
rovers,instances_9-3,2,0.752646684646606,1988.6953125,54,296,9.77
rovers,instances_9-3,3,2.27271676063538,1988.6953125,114,825,8.11
rovers,instances_9-8,1,0.566165924072266,1988.6328125,3,23,8.9
rovers,instances_9-8,2,0.778575658798218,1988.6328125,69,368,9.6
rovers,instances_9-8,3,2.83828115463257,1988.63671875,154,1076,9.47
